"year";"week";"KW";"City.of.Bern";"Canton";"Cases.rollsum";"Number_weeks";"weeks.range";"Cases.range"
1919;"1919_w6";6;524;2030;26433;9;"50_6_1919";0.32
1919;"1919_w7";7;393;921;18916;9;"51_7_1919";0.23
1919;"1919_w8";8;437;2050;17080;9;"52_8_1919";0.21
1919;"1919_w9";9;468;1117;14095;9;"1_9_1919";0.17
1919;"1919_w10";10;353;937;13309;9;"2_10_1919";0.16
1919;"1919_w11";11;266;1233;12435;9;"3_11_1919";0.15
1919;"1919_w12";12;167;534;11541;9;"4_12_1919";0.14
1919;"1919_w13";13;92;656;10677;9;"5_13_1919";0.13
1919;"1919_w14";14;77;374;9852;9;"6_14_1919";0.12
1919;"1919_w15";15;49;613;8435;9;"7_15_1919";0.1
1919;"1919_w16";16;0;121;7635;9;"8_16_1919";0.09
1919;"1919_w17";17;57;328;5913;9;"9_17_1919";0.07
1919;"1919_w18";18;35;69;4865;9;"10_18_1919";0.06
1919;"1919_w19";19;0;53;3981;9;"11_19_1919";0.05
1919;"1919_w20";20;2;95;2843;9;"12_20_1919";0.03
1919;"1919_w21";21;0;35;2344;9;"13_21_1919";0.03
1919;"1919_w22";22;11;64;1752;9;"14_22_1919";0.02
1919;"1919_w23";23;3;22;1400;9;"15_23_1919";0.02
1919;"1919_w24";24;1;8;795;9;"16_24_1919";0.01
1919;"1919_w25";25;1;17;691;9;"17_25_1919";0.01
1919;"1919_w26";26;0;0;363;9;"18_26_1919";0
1919;"1919_w27";27;0;0;294;9;"19_27_1919";0
1919;"1919_w28";28;0;0;241;9;"20_28_1919";0
1919;"1919_w29";29;0;0;146;9;"21_29_1919";0
1919;"1919_w30";30;0;0;111;9;"22_30_1919";0
1919;"1919_w31";31;0;0;47;9;"23_31_1919";0
1919;"1919_w32";32;0;0;25;9;"24_32_1919";0
1919;"1919_w33";33;0;0;17;9;"25_33_1919";0
1919;"1919_w34";34;0;0;0;9;"26_34_1919";0
1919;"1919_w35";35;0;0;0;9;"27_35_1919";0
1919;"1919_w36";36;0;0;0;9;"28_36_1919";0
1919;"1919_w37";37;0;0;0;9;"29_37_1919";0
1919;"1919_w38";38;0;0;0;9;"30_38_1919";0
1919;"1919_w39";39;0;0;0;9;"31_39_1919";0
1919;"1919_w40";40;0;0;0;9;"32_40_1919";0
1919;"1919_w41";41;0;0;0;9;"33_41_1919";0
1918;"1918_w25";25;0;3;3;10;"16_25_1918";0
1918;"1918_w26";26;0;0;3;10;"17_26_1918";0
1918;"1918_w27";27;7;16;19;10;"18_27_1918";0
1918;"1918_w28";28;60;298;317;10;"19_28_1918";0
1918;"1918_w29";29;240;1439;1756;10;"20_29_1918";0.02
1918;"1918_w30";30;2713;7845;9601;10;"21_30_1918";0.12
1918;"1918_w31";31;1801;7046;16647;10;"22_31_1918";0.2
1918;"1918_w32";32;641;3581;20228;10;"23_32_1918";0.25
1918;"1918_w33";33;236;1509;21737;10;"24_33_1918";0.27
